Step,Score,Tries
1,-440.0,1
2,-363.5,2
3,-310.5,1
4,-256.5,2
5,-252.5,2
6,-250.5,1
7,-221.5,1
8,-176.5,1
9,-174.5,1
10,-162.0,1
11,-134.0,1
12,-132.0,3
13,-126.0,1
14,-104.0,2
15,-74.0,1
16,-65.5,1
17,-58.5,1
18,-47.5,4
19,-37.5,2
20,-18.5,3
21,19.5,2
22,46.5,3
23,61.5,30
24,67.5,4
25,82.5,1
26,98.0,5
27,116.5,1
28,122.5,1
29,135.5,3
30,153.5,1
31,155.5,4
32,159.5,2
33,170.5,1
34,200.0,3
35,211.0,17
36,217.0,2
37,242.5,1
38,262.5,1
39,279.5,3
40,287.5,4
41,291.5,2
42,293.5,1
43,296.5,1
44,306.5,1
45,316.5,13
46,326.5,3
47,328.5,1
48,345.0,7
49,346.5,10
50,352.5,3
51,355.5,1
52,402.5,11
53,404.5,2
54,418.5,5
55,421.5,6
56,446.5,3
57,457.5,4
58,471.5,3
59,487.5,2
60,495.5,4
61,514.5,363
62,539.5,11
63,543.5,13
64,545.5,22
65,549.5,14
66,553.5,3
67,559.5,14
68,565.5,6
69,572.5,2
70,603.0,7
71,607.0,30
72,614.0,5
73,617.0,23
74,643.0,5
75,680.5,9
76,684.5,1
77,703.0,37
78,707.0,7
79,709.0,28
80,711.0,6
81,717.0,1
82,723.0,1
83,724.0,4
84,725.0,11
85,743.0,1212
86,770.0,4
87,772.0,10
88,807.0,14
89,810.0,3
90,814.0,1
91,822.0,7
92,828.0,19
93,850.0,22
94,856.0,14
95,869.0,3
96,881.0,10
97,892.0,25
98,894.0,19
99,906.0,15
100,907.0,41
101,916.0,16
102,918.0,6
103,922.0,6
104,943.0,4
105,945.0,27
106,949.0,13
107,957.0,14
108,964.0,14
109,969.0,32
110,977.0,7
111,978.5,8
112,980.5,44
113,984.5,9
114,991.5,5
115,993.5,1
116,995.5,13
117,996.5,2
118,1006.5,79
119,1013.5,5
120,1015.5,8
121,1017.5,3
122,1023.5,2
123,1033.5,3
124,1036.5,497
125,1046.5,3
126,1048.5,19
127,1052.5,1
128,1072.5,5
129,1086.0,27
130,1109.0,6
131,1149.5,37
132,1162.5,12
133,1173.5,45
134,1176.5,63
135,1181.5,2
136,1188.5,48
137,1196.5,21
138,1198.5,3
139,1214.5,13
140,1218.5,11
141,1224.5,118
142,1236.5,7
143,1237.5,4
144,1254.5,26
145,1266.5,45
146,1274.5,51
147,1276.5,10
148,1285.5,103
149,1288.5,31
150,1293.5,413
151,1301.5,203
152,1312.5,32
153,1319.5,21
154,1340.5,133
155,1342.5,10
156,1346.5,24
157,1348.5,31
158,1350,11
159,1354,40
160,1356,41
161,1362,253
162,1364,20
163,1372,43
164,1374,57
165,1376,46
166,1380,15
167,1384,37
168,1385,70
169,1392,102
170,1394,146
171,1396,30
172,1404,53
173,1405,116
174,1413,32
175,1421,25
176,1432,29
177,1437,133
178,1439,12
179,1440,11
180,1462,209
181,1476,59
182,1480,6
183,1482,4
184,1486,165
